block,week,odds,target,pnl,sport
4,202607,1.85,0,-1.0,Basketball
4,202607,32.3379,0,-1.0,Soccer
4,202607,1.6,1,0.6000000000000001,Tennis
4,202607,4.7779,0,-1.0,Soccer
4,202607,1.58,0,-1.0,Soccer
4,202607,1.65,1,0.6499999999999999,Basketball
4,202607,6.4472,0,-1.0,Basketball
4,202607,1.4,1,0.3999999999999999,CS2
4,202607,1.85,0,-1.0,Basketball
4,202607,1.73,0,-1.0,Soccer
4,202607,1.87,0,-1.0,Soccer
4,202607,1.74,0,-1.0,Soccer
4,202607,1.4,1,0.3999999999999999,Tennis
4,202607,1.65,1,0.6499999999999999,Tennis
4,202607,1.58,0,-1.0,Soccer
4,202607,1.58,0,-1.0,Soccer
4,202607,1.73,0,-1.0,Soccer
4,202607,1.58,0,-1.0,Soccer
4,202607,1.58,0,-1.0,Soccer
4,202607,1.8,0,-1.0,Tennis
4,202607,1.65,1,0.6499999999999999,Tennis
4,202607,1.58,0,-1.0,League of Legends
4,202607,1.54,1,0.54,Tennis
4,202607,2.05,1,1.0499999999999998,Soccer
4,202607,333.0724,0,-1.0,Basketball
4,202607,333.0724,0,-1.0,Soccer
4,202607,74.214,0,-1.0,Soccer
4,202607,28.9575,0,-1.0,Soccer
4,202607,4.667,0,-1.0,Soccer
4,202607,3.3734,1,2.3734,Soccer
4,202607,1.35,1,0.3500000000000001,Soccer
4,202607,19.8406,1,18.8406,Soccer
4,202607,15.503,1,14.503,Soccer
4,202607,1.4,0,-1.0,Cricket
4,202607,3.8308,0,-1.0,Soccer
4,202607,1.45,1,0.44999999999999996,Table Tennis
4,202607,1.45,1,0.44999999999999996,Tennis
4,202607,1.57,0,-1.0,Soccer
4,202607,42.4916,0,-1.0,Soccer
4,202607,44.6401,0,-1.0,Soccer
4,202607,55.3953,0,-1.0,Soccer
4,202607,3.179,0,-1.0,Soccer
4,202607,46.0498,0,-1.0,Soccer
4,202607,43.8335,0,-1.0,Soccer
4,202607,42.686,0,-1.0,Soccer
4,202607,44.8443,0,-1.0,Soccer
4,202607,40.3599,0,-1.0,Soccer
4,202607,38.4174,0,-1.0,Soccer
4,202607,39.4501,0,-1.0,Soccer
4,202607,1.57,0,-1.0,Soccer
4,202607,4.44,1,3.4400000000000004,Soccer
4,202607,1.85,0,-1.0,Tennis
4,202607,98.5756,0,-1.0,Soccer
4,202607,1.58,0,-1.0,Soccer
4,202607,1.2,1,0.19999999999999996,Cricket
4,202607,1.2,1,0.19999999999999996,Cricket
4,202607,1.35,1,0.3500000000000001,Tennis
4,202607,3.9137,0,-1.0,Soccer
4,202607,1.4,1,0.3999999999999999,Tennis
4,202607,1.88,1,0.8799999999999999,Tennis
4,202607,2.03,1,1.0299999999999998,Soccer
4,202607,2.7004,0,-1.0,Soccer
4,202607,32.9826,0,-1.0,Soccer
4,202607,1.65,1,0.6499999999999999,Tennis
4,202607,2.7004,0,-1.0,Soccer
4,202607,1.87,1,0.8700000000000001,Soccer
4,202607,1.4,1,0.3999999999999999,Soccer
4,202607,1.3,1,0.30000000000000004,Tennis
